measure_date,hour,visits,devices
2019-01-07,17,0,17934334
2019-01-07,18,0,17934334
2019-01-07,19,0,17934334
2019-01-07,20,0,17934334
2019-01-07,21,0,17934334
2019-01-07,22,0,17934334
2019-01-07,23,0,17934334
2019-01-08,0,0,18341970
2019-01-08,1,0,18341970
2019-01-08,2,0,18341970
2019-01-08,3,0,18341970
2019-01-08,4,0,18341970
2019-01-08,5,0,18341970
2019-01-08,6,1,18341970
2019-01-08,7,0,18341970
2019-01-08,8,0,18341970
2019-01-08,9,1,18341970
2019-01-08,10,0,18341970
2019-01-08,11,0,18341970
2019-01-08,12,0,18341970
2019-01-08,13,0,18341970
2019-01-08,14,1,18341970
2019-01-08,15,3,18341970
2019-01-08,16,0,18341970
2019-01-08,17,1,18341970
2019-01-08,18,0,18341970
2019-01-08,19,0,18341970
2019-01-08,20,0,18341970
2019-01-08,21,0,18341970
2019-01-08,22,0,18341970
2019-01-08,23,0,18341970
2019-01-09,0,0,18866915
2019-01-09,1,0,18866915
2019-01-09,2,0,18866915
2019-01-09,3,0,18866915
2019-01-09,4,0,18866915
2019-01-09,5,1,18866915
2019-01-09,6,0,18866915
2019-01-09,7,0,18866915
2019-01-09,8,0,18866915
2019-01-09,9,3,18866915
2019-01-09,10,0,18866915
2019-01-09,11,2,18866915
2019-01-09,12,2,18866915
2019-01-09,13,0,18866915
2019-01-09,14,0,18866915
2019-01-09,15,0,18866915
2019-01-09,16,0,18866915
2019-01-09,17,1,18866915
2019-01-09,18,0,18866915
2019-01-09,19,0,18866915
2019-01-09,20,0,18866915
2019-01-09,21,0,18866915
2019-01-09,22,0,18866915
2019-01-09,23,0,18866915
2019-01-10,0,0,18915050
2019-01-10,1,0,18915050
2019-01-10,2,0,18915050
2019-01-10,3,0,18915050
2019-01-10,4,0,18915050
2019-01-10,5,0,18915050
2019-01-10,6,1,18915050
2019-01-10,7,0,18915050
2019-01-10,8,0,18915050
2019-01-10,9,0,18915050
2019-01-10,10,0,18915050
2019-01-10,11,0,18915050
2019-01-10,12,2,18915050
2019-01-10,13,0,18915050
2019-01-10,14,1,18915050
2019-01-10,15,0,18915050
2019-01-10,16,3,18915050
2019-01-10,17,0,18915050
2019-01-10,18,0,18915050
2019-01-10,19,0,18915050
2019-01-10,20,0,18915050
2019-01-10,21,0,18915050
2019-01-10,22,0,18915050
2019-01-10,23,0,18915050
2019-01-11,0,0,19005440
2019-01-11,1,0,19005440
2019-01-11,2,0,19005440
2019-01-11,3,0,19005440
2019-01-11,4,0,19005440
2019-01-11,5,0,19005440
2019-01-11,6,0,19005440
2019-01-11,7,1,19005440
2019-01-11,8,0,19005440
2019-01-11,9,0,19005440
2019-01-11,10,1,19005440
2019-01-11,11,0,19005440
2019-01-11,12,2,19005440
2019-01-11,13,0,19005440
2019-01-11,14,0,19005440
2019-01-11,15,0,19005440
2019-01-11,16,0,19005440
2019-01-11,17,0,19005440
2019-01-11,18,0,19005440
2019-01-11,19,0,19005440
2019-01-11,20,0,19005440
2019-01-11,21,0,19005440
2019-01-11,22,0,19005440
2019-01-11,23,0,19005440
2019-01-12,0,0,18506902
2019-01-12,1,0,18506902
2019-01-12,2,0,18506902
2019-01-12,3,0,18506902
2019-01-12,4,0,18506902
2019-01-12,5,0,18506902
2019-01-12,6,0,18506902
2019-01-12,7,0,18506902
2019-01-12,8,0,18506902
2019-01-12,9,0,18506902
2019-01-12,10,0,18506902
2019-01-12,11,0,18506902
2019-01-12,12,0,18506902
2019-01-12,13,2,18506902
2019-01-12,14,1,18506902
2019-01-12,15,0,18506902
2019-01-12,16,0,18506902
2019-01-12,17,0,18506902
2019-01-12,18,0,18506902
2019-01-12,19,0,18506902
2019-01-12,20,0,18506902
2019-01-12,21,0,18506902
2019-01-12,22,0,18506902
2019-01-12,23,0,18506902
2019-01-13,0,0,18309280
2019-01-13,1,0,18309280
2019-01-13,2,0,18309280
2019-01-13,3,0,18309280
2019-01-13,4,0,18309280
2019-01-13,5,0,18309280
2019-01-13,6,0,18309280
2019-01-13,7,0,18309280
2019-01-13,8,0,18309280
2019-01-13,9,0,18309280
2019-01-13,10,0,18309280
2019-01-13,11,2,18309280
2019-01-13,12,1,18309280
2019-01-13,13,2,18309280
2019-01-13,14,4,18309280
2019-01-13,15,2,18309280
2019-01-13,16,1,18309280
2019-01-13,17,0,18309280
2019-01-13,18,0,18309280
2019-01-13,19,0,18309280
2019-01-13,20,0,18309280
2019-01-13,21,0,18309280
2019-01-13,22,0,18309280
2019-01-13,23,0,18309280
2019-01-14,0,0,18382238
2019-01-14,1,0,18382238
2019-01-14,2,0,18382238
2019-01-14,3,0,18382238
2019-01-14,4,0,18382238
2019-01-14,5,0,18382238
2019-01-14,6,0,18382238
2019-01-14,7,0,18382238
2019-01-14,8,0,18382238
2019-01-14,9,0,18382238
2019-01-14,10,0,18382238
2019-01-14,11,0,18382238
2019-01-14,12,0,18382238
2019-01-14,13,0,18382238
2019-01-14,14,0,18382238
2019-01-14,15,0,18382238
2019-01-14,16,0,18382238
2019-01-14,17,0,18382238
2019-01-14,18,0,18382238
2019-01-14,19,0,18382238
2019-01-14,20,0,18382238
2019-01-14,21,0,18382238
2019-01-14,22,0,18382238
2019-01-14,23,0,18382238
2019-01-15,0,0,18419526
2019-01-15,1,0,18419526
2019-01-15,2,0,18419526
2019-01-15,3,0,18419526
2019-01-15,4,0,18419526
2019-01-15,5,0,18419526
2019-01-15,6,0,18419526
2019-01-15,7,0,18419526
2019-01-15,8,0,18419526
2019-01-15,9,0,18419526
2019-01-15,10,0,18419526
2019-01-15,11,0,18419526
2019-01-15,12,0,18419526
2019-01-15,13,0,18419526
